Date,Day,Burundi,Comoros,Ethiopia,Kenya,Malawi,Mozambique,Somalia,Sudan,Zambia,Zimbabwe,,
2023-01-06,1,12,,,347,3055,,,,,,,
2023-01-13,8,51,,,,4076,1014,,,,,,
2023-01-21,16,51,,,633,4915,762,,,,,,
2023-01-27,22,,,,356,3700,480,703,,11,,,
2023-02-03,29,,,,205,4426,346,,,16,,,
2023-02-11,37,24,,245,249,4576,1336,,,56,,,
2023-02-17,43,,,,205,3102,709,189,,69,,,
2023-02-25,51,,,,628,4056,613,219,,26,8,,
2023-03-04,58,,,,467,2296,1430,,,16,,,
2023-03-11,65,,,,451,1879,1030,196,,24,,,
2023-03-18,72,,,,,1758,1157,196,,7,65,,
2023-03-26,80,,,,1129,1277,3046,,,55,118,,
2023-03-31,85,,,,50,1004,7783,1169,,6,96,,
2023-04-10,95,2,,,632,762,4369,414,,32,60,,
2023-04-21,106,,,,253,478,1563,,,18,71,,
2023-04-28,113,,,,,290,1609,,,51,80,,
2023-05-05,120,,,,750,165,698,,,95,79,,
2023-05-13,128,168,,,561,177,702,2289,,57,408,,
2023-05-20,135,,,,149,93,342,1137,,81,280,,
2023-05-27,142,,,,468,76,548,1061,,25,362,,
2023-06-04,150,164,,,,35,470,484,,42,482,,
2023-06-11,157,39,,,224,1,408,404,,,319,,
2023-06-18,164,,,9624,158,34,428,377,,26,331,,
2023-07-09,185,,,71,120,21,110,,,,181,,
2023-07-15,191,,,605,102,10,104,487,,,166,,
2023-07-24,200,,,448,65,6,95,,,,150,,
2023-07-30,206,,,2323,11,4,106,227,,,145,,
2023-08-06,213,64,,661,47,28,127,235,,,33,,
2023-08-13,220,3,,,60,,131,224,,,50,,
2023-08-20,227,,,1015,28,,143,214,,,19,,
2023-08-27,234,,,,29,,145,232,,,20,,
2023-09-03,241,,,667,43,4,164,,,93,3,,
2023-09-08,246,122,,2754,19,,117,528,,32,30,,
2023-09-17,255,,,1545,,14,164,167,,6,38,,
2023-09-22,260,,,224,9,2,126,174,,23,58,,
2023-09-30,268,221,,237,,10,89,,265,6,204,,
2023-10-07,275,,,548,10,7,50,409,,13,343,,
2023-10-13,281,,,137,,6,96,231,,3,339,,
2023-10-20,288,44,,104,3,22,161,,255,1,215,,
2023-10-28,296,145,,118,,22,171,216,800,4,372,,
2023-11-06,305,,,717,,19,508,219,,365,526,,
2023-11-11,310,,,452,3,8,889,279,,108,828,,
2023-11-18,317,,,446,,1,449,266,908,143,549,,
2023-11-26,325,,,377,,7,,383,,168,837,,
2023-12-03,332,,,645,,,,482,,68,1332,,
2023-12-09,338,116,,408,107,,265,478,2653,194,930,,
2023-12-19,348,,,946,14,,854,475,,233,1094,,
2023-12-24,353,,,533,,2,635,,1761,487,823,,
2023-12-31,360,,,404,,7,872,439,1328,638,1155,,
2024-01-07,367,,,382,,,682,377,,469,1568,,
2024-01-12,372,,,254,50,4,517,,,4073,1678,,
2024-01-20,380,1,,123,19,1,884,506,,4046,2020,,
2024-01-29,389,,,163,,4,426,474,,2634,1080,,
2024-02-03,394,11,6,239,59,4,631,426,,2262,1678,,
2024-02-10,401,5,10,,21,25,283,386,,1765,1053,,
2024-02-17,408,6,37,373,13,51,450,346,,866,1273,,
2024-03-04,424,,22,465,,21,480,376,,457,1068,,
2024-03-17,437,5,27,381,,14,446,432,,528,877,,
2024-03-24,444,11,131,3223,9,,546,586,,389,989,,
2024-03-29,449,23,100,700,4,12,349,573,,410,952,,
2024-04-06,457,19,236,855,,14,389,1649,,256,819,,
2024-04-14,465,10,218,1250,,13,306,,,254,586,,
2024-04-20,471,5,982,,,13,235,630,,177,589,,
2024-04-28,479,9,729,2640,,10,200,735,2325,168,750,,
2024-05-05,486,13,1366,769,,2,114,711,,55,393,,
2024-05-12,493,1,1112,1658,44,,128,694,,54,422,,
