Date,PNAS (M),PAHO,PNAS,PAHO_Sum
1,12,1,12000,1
2,7.8,3,7800,3
3,15.6,4,15600,4
4,15.05,13,15050,13
5,15.3,35,15300,35
6,14.75,55,14750,55
7,15.5,47,15500,158
8,20.2,44,20200,44
9,19.5,117,19500,117
10,24.1,155,24100,155
11,12.6,80,12600,80
12,10,230,10000,230
13,14,208,14000,208
14,8.5,255,8500,1089
15,10.8,198,10800,198
16,5.02,150,5020,150
17,10,158,10000,158
18,7.6,159,7600,159
19,4.95,154,4950,154
20,4.5,156,4500,156
21,5.15,202,5150,1177
22,4.7,207,4700,207
23,4.2,227,4200,227
24,8.2,186,8200,186
25,3.8,237,3800,237
26,3.3,250,3300,250
27,3.3,304,3300,304
28,,295,0,1706
29,,386,0,386
30,,427,0,427
31,,355,0,355
32,,307,0,307
33,,396,0,396
34,,397,0,397
35,,343,0,2611
36,,346,0,346
37,,405,0,405
38,,400,0,400
39,,343,0,343
40,,413,0,413
41,,464,0,464
42,,382,0,2753
43,,445,0,445
44,,402,0,402
45,,291,0,291
46,,308,0,308
47,,392,0,392
48,,403,0,403
49,,407,0,2648
50,,405,0,405
51,,400,0,400
52,,406,0,406
53,,293,0,293
54,,310,0,310
55,,386,0,386
56,,343,0,2543
57,,395,0,395
58,,352,0,352
59,,341,0,341
60,,320,0,320
61,,309,0,309
62,,373,0,373
63,,367,0,2457
64,,371,0,371
65,,330,0,330
66,,270,0,270
67,,333,0,333
68,,258,0,258
69,,280,0,280
70,,245,0,2087
71,,192,0,192
72,,227,0,227
73,,202,0,202
74,,198,0,198
75,,194,0,194
76,,239,0,239
77,,168,0,1420
78,,207,0,207
79,,205,0,205
80,,182,0,182
81,,193,0,193
82,,172,0,172
83,,208,0,208
84,,204,0,1371
85,,211,0,211
86,,208,0,208
87,,196,0,196
88,,202,0,202
89,,164,0,164
90,,163,0,163
91,,203,0,1347
92,,194,0,194
93,,193,0,193
94,,147,0,147
95,,199,0,199
96,,254,0,254
97,,265,0,265
98,,257,0,1509
99,,261,0,261
100,,240,0,240
101,,203,0,203
102,,197,0,197
103,,253,0,253
104,,251,0,251
105,,243,0,1648
106,,228,0,228
107,,258,0,258
108,,237,0,237
109,,264,0,264
110,,244,0,244
111,,248,0,248
112,,196,0,1675
113,,193,0,193
114,,174,0,174
115,,154,0,154
116,,155,0,155
117,,192,0,192
118,,207,0,207
119,,210,0,1285
120,,187,0,187
121,,157,0,157
122,,160,0,160
123,,190,0,190
124,,196,0,196
125,,198,0,198
126,,147,0,1235
127,,145,0,145
128,,118,0,118
129,,130,0,130
130,,142,0,142
131,,156,0,156
132,,165,0,165
133,,159,0,1015
134,,129,0,129
135,,128,0,128
136,,131,0,131
137,,135,0,135
138,,145,0,145
139,,132,0,132
140,,157,0,957
141,,134,0,134
142,,110,0,110
143,,104,0,104
144,,108,0,108
145,,130,0,130
146,,111,0,111
147,,96,0,793
148,,68,0,68
149,,86,0,86
150,,44,0,44
151,,42,0,42
152,,14,0,14
