Date,Day,Zimbabwe,Zimb_cumul
2023-09-03,241,3526,3
2023-09-08,246,3556,33
2023-09-17,255,3594,71
2023-09-22,260,3652,129
2023-09-30,268,3856,333
2023-10-07,275,4199,676
2023-10-13,281,4538,1015
2023-10-20,288,4753,1230
2023-10-28,296,5125,1602
2023-11-06,305,5651,2128
2023-11-11,310,6479,2956
2023-11-18,317,7028,3505
2023-11-26,325,7865,4342
2023-12-03,332,9197,5674
2023-12-09,338,10127,6604
2023-12-19,348,11221,7698
2023-12-24,353,12044,8521
2023-12-31,360,13199,9676
2024-01-07,367,14767,11244
2024-01-12,372,16445,12922
2024-01-20,380,18465,14942
2024-01-29,389,19545,16022
2024-02-03,394,21223,17700
2024-02-10,401,22276,18753
2024-02-17,408,23549,20026
2024-03-04,424,25215,21692
2024-03-17,437,27109,23586
2024-03-24,444,28098,24575
2024-03-29,449,29050,25527
2024-04-06,457,29869,26346
2024-04-14,465,30455,26932
2024-04-20,471,31044,27521
2024-04-28,479,31794,28271
2024-05-05,486,32187,28664
2024-05-12,493,32609,29086
